url,postal_code,municipality,property_id,price,cadastral_income,vat,state_of_the_property,currently_leased,build_year,availability,number_of_bedrooms,livable_surface,furnished,garage,number_of_garages,number_of_bathrooms,number_of_toilets,type_of_heating,elevator,orientation_of_the_front_facade,number_of_facades,garden,terrace,total_land_surface,gas,running_water,specific_primary_energy_consumption,epc_peb_reference,validity_date_epc_peb,certification_electrical_installation,preemption_right,urbanism_affectation,flooding_area_type,demarcated_flooding_area
https://immovlan.be/en/detail/residence/for-sale/8830/hooglede/rbu55625,8830,hooglede,RBU55625,685 000 €,,No,Excellent,No,,,4,300 m²,,Yes,1,2,2,,,,,Yes,Yes,6076 m²,,Yes,285 kWh/m²/year,20240713-0003312496-RES-1,13/07/2034,"yes, certificate in accordance",,Agricultural zone,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/8200/sint-michiels/rbu64784,8200,sint-michiels,RBU64784,725 000 €,,,New,,2024,,4,258 m²,No,,,2,2,,No,,3,Yes,Yes,805 m²,,Yes,,,,"yes, certificate in accordance",No,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/9240/zele/rbu64863,9240,zele,RBU64863,459 000 €,800 €,No,Excellent,,2014,,3,187 m²,,Yes,1,1,2,Hot air,,,2,Yes,Yes,340 m²,Yes,Yes,7 kWh/m²/year,,22/10/2035,"yes, certificate in accordance",No,,(information not available),(information not available)
https://immovlan.be/en/detail/villa/for-sale/8530/harelbeke/rbu64449,8530,harelbeke,RBU64449,1 650 000 €,1 859 €,No,Normal,No,,On contract,4,520 m²,No,Yes,2,3,3,Not specified,No,South-west,4,Yes,Yes,3667 m²,,Yes,298 kWh/m²/year,000,29/04/2035,No certificate,No,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/9080/zeveneken/rbu64634,9080,zeveneken,RBU64634,349 000 €,545 €,No,To be renovated,No,1920,,,110 m²,,,,,,,,,3,Yes,No,2316 m²,,Yes,1439 kWh/m²/year,20250408-0003573365-RES-1,,"No, certificate does not comply",,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/villa/for-sale/8500/kortrijk/rbu64452,8500,kortrijk,RBU64452,798 000 €,,,New,No,2025,On contract,4,400 m²,No,Yes,2,2,2,,No,South-west,4,Yes,Yes,1461 m²,,,,,,Not applicable,No,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/villa/for-sale/8500/kortrijk/rbu64456,8500,kortrijk,RBU64456,705 000 €,1 507 €,No,,No,1977,Negotiable,2,260 m²,No,Yes,2,1,2,Gas,No,South-west,4,Yes,Yes,1084 m²,Yes,Yes,282 kWh/m²/year,,,"yes, certificate in accordance",No,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/villa/for-sale/8531/bavikhove/rbu64457,8531,bavikhove,RBU64457,875 000 €,2 176 €,No,,No,1975,,3,332 m²,No,Yes,2,1,2,Not specified,No,,,Yes,Yes,3057 m²,,,384 kWh/m²/year,000367453,29/08/2035,Not applicable,No,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/8530/harelbeke/rbu64434,8530,harelbeke,RBU64434,189 000 €,436 €,No,,No,,,4,150 m²,,Yes,2,1,1,Gas,,,,Yes,Yes,215 m²,Yes,Yes,743 kWh/m²/year,20241228-0003484799-RES1,,"No, certificate does not comply",,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2640/mortsel/rbu64440,2640,mortsel,RBU64440,699 000 €,,No,Normal,No,,On contract,4,183 m²,No,,,1,2,Gas,No,North-west,2,Yes,Yes,117 m²,Yes,Yes,64 kWh/m²/year,,09/06/2035,"yes, certificate in accordance",No,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/5570/honnay/vbd48261,5570,honnay,VBD48261,250 000 €,619 €,No,Normal,,,On contract,5,278 m²,No,Yes,1,1,2,Gas,No,,4,Yes,Yes,500 m²,Yes,Yes,424 kWh/m²/year,,02/11/2035,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/5530/yvoir/vbd48262,5530,yvoir,VBD48262,375 000 €,706 €,No,,No,1941,,5,205 m²,No,Yes,1,2,2,,No,South-east,3,Yes,Yes,238 m²,,Yes,218 kWh/m²/year,20240918016639,18/09/2034,"yes, certificate in accordance",,,,a demarcated flooding area
https://immovlan.be/en/detail/residence/for-sale/5100/wepion/vbd48268,5100,wepion,VBD48268,450 000 €,1 621 €,No,To be renovated,No,1953,,5,239 m²,No,Yes,2,3,,Fuel oil,No,East,4,Yes,Yes,4464 m²,,Yes,435 kWh/m²/year,20240702000184,02/07/2034,"No, certificate does not comply",,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/4654/charneux/vbd48075,4654,charneux,VBD48075,345 000 €,,No,Normal,,,,4,150 m²,,Yes,1,1,2,Fuel oil,,,3,Yes,Yes,686 m²,,Yes,493 kWh/m²/year,,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/7730/leers-nord/vbd48267,7730,leers-nord,VBD48267,115 000 €,292 €,No,To be renovated,No,,On contract,3,104 m²,No,Yes,1,1,1,Gas,No,,4,Yes,Yes,200 m²,Yes,Yes,603 kWh/m²/year,,01/11/2035,No certificate,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1800/vilvoorde/rbu64342,1800,vilvoorde,RBU64342,275 000 €,1 359 €,No,To renovate,,1953,Negotiable,3,150 m²,,,,2,,Gas,No,,,No,No,76 m²,,,509 kWh/m²/year,20250612-0003605589-RES-1,12/06/2035,No certificate,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1120/neder-over-heembeek/vwd15567,1120,neder-over-heembeek,VWD15567,515 000 €,1 834 €,No,Normal,,1933,,4,293 m²,,,,2,,Gas,,,2,Yes,Yes,,,,,,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/7390/wasmuel/vbd48222,7390,wasmuel,VBD48222,190 000 €,451 €,No,,No,,On contract,2,110 m²,No,,,,1,,No,South,2,Yes,Yes,160 m²,,,357 kWh/m²/year,20251025005758,25/10/2035,"yes, certificate in accordance",,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/3580/beringen/rbu64388,3580,beringen,RBU64388,440 000 €,,No,Normal,No,2023,,3,158 m²,No,,,1,,Gas,No,,3,No,No,356 m²,Yes,Yes,,,,"yes, certificate in accordance",No,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/6800/libramont-chevigny/vbd48220,6800,libramont-chevigny,VBD48220,369 900 €,,No,,,2025,,4,155 m²,No,,,1,2,Gas,No,,3,Yes,Yes,,,,,,,,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/3500/hasselt/rbu64389,3500,hasselt,RBU64389,249 000 €,,No,,No,,,4,200 m²,No,Yes,1,1,,Fuel oil,No,,3,Yes,No,2092 m²,,,390 kWh/m²/year,20241105-0003436867-RES-1,,"No, certificate does not comply",No,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/6747/chatillon/vbd48226,6747,chatillon,VBD48226,399 900 €,,,,,2025,,3,147 m²,No,Yes,1,1,2,Hot air,No,,3,Yes,Yes,409 m²,,,85 kWh/m²/year,,,"yes, certificate in accordance",,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/3580/beringen/rbu64390,3580,beringen,RBU64390,484 172 €,,,New,No,,,3,174 m²,No,,,1,,Electricity,No,,4,No,No,503 m²,,Yes,,,,"yes, certificate in accordance",No,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/5621/hanzinne/vbd48234,5621,hanzinne,VBD48234,339 000 €,,,New,No,2025,From 01/10/2026,3,116 m²,No,,,,,Not specified,No,South,4,Yes,Yes,425 m²,,,73 kWh/m²/year,,,Not applicable,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6724/houdemont/vbd48239,6724,houdemont,VBD48239,340 000 €,,No,New,No,2025,,3,120 m²,No,,,2,2,Gas,No,South,2,Yes,No,154 m²,,Yes,,,,"yes, certificate in accordance",,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6700/arlon/vbd48237,6700,arlon,VBD48237,695 000 €,,No,Normal,No,1997,,3,193 m²,No,Yes,2,2,2,Fuel oil,No,South,4,Yes,Yes,1243 m²,,,172 kWh/m²/year,20250512038664,,"yes, certificate in accordance",,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/8500/kortrijk/rbu64394,8500,kortrijk,RBU64394,149 000 €,366 €,No,,No,,On contract,3,156 m²,No,,,1,,Gas,No,,2,No,Yes,100 m²,,,341 kWh/m²/year,,,Not applicable,,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/6180/courcelles/vbd48240,6180,courcelles,VBD48240,239 000 €,,No,Normal,,,On contract,3,135 m²,,,,2,2,,No,,2,Yes,Yes,290 m²,Yes,Yes,264 kWh/m²/year,,01/11/2035,No certificate,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/6724/houdemont/vbd48241,6724,houdemont,VBD48241,340 000 €,,No,New,No,2025,,3,120 m²,No,,,2,2,Gas,No,South,2,Yes,No,152 m²,,Yes,,,,"yes, certificate in accordance",,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6724/houdemont/vbd48242,6724,houdemont,VBD48242,340 000 €,,No,New,No,2025,,3,120 m²,No,,,2,2,Gas,No,South,2,Yes,No,147 m²,,Yes,,,,"yes, certificate in accordance",,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/7700/mouscron/vbd48256,7700,mouscron,VBD48256,275 000 €,1 088 €,No,,No,,,3,,No,Yes,2,1,1,Gas,No,South,4,Yes,Yes,536 m²,,,205 kWh/m²/year,20230706004241,,No certificate,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6724/houdemont/vbd48243,6724,houdemont,VBD48243,369 000 €,,No,New,No,2025,,3,141 m²,No,,,1,2,Gas,No,South,3,Yes,No,223 m²,,Yes,,,,"yes, certificate in accordance",,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/7640/antoing/vbd48257,7640,antoing,VBD48257,130 000 €,,No,To be renovated,No,,,4,201 m²,No,,,1,,,No,,2,Yes,No,250 m²,,,408 kWh/m²/year,20251024000105,,Not applicable,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/9220/hamme/rbu64348,9220,hamme,RBU64348,325 000 €,798 €,No,Normal,,,,4,158 m²,No,Yes,1,1,,Gas,No,,,No,Yes,224 m²,,,323 kWh/m²/year,20240618-0003284988-RES-1,18/06/2034,Not applicable,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/7030/saint-symphorien/vbd48253,7030,saint-symphorien,VBD48253,369 000 €,731 €,No,Excellent,,,On contract,4,200 m²,No,Yes,1,1,2,Gas,,,3,Yes,Yes,,Yes,Yes,305 kWh/m²/year,,12/09/2035,"yes, certificate in accordance",,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/4102/ougree/vbd48060,4102,ougree,VBD48060,299 000 €,852 €,No,Fully renovated,,,,4,205 m²,No,Yes,1,1,,Not specified,No,South-east,,Yes,Yes,584 m²,,,116 kWh/m²/year,20250905026908,05/09/2035,No certificate,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/7711/dottignies/vbd48258,7711,dottignies,VBD48258,359 000 €,906 €,No,New,No,2018,,3,197 m²,No,Yes,1,1,2,,No,,3,Yes,Yes,331 m²,,,116 kWh/m²/year,RWPEB-027742,,"yes, certificate in accordance",,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6030/marchienne-au-pont/vbd48259,6030,marchienne-au-pont,VBD48259,69 000 €,297 €,No,To be renovated,,,On contract,1,56 m²,No,Yes,,1,1,Gas,,,2,Yes,,253 m²,,,1057 kWh/m²/year,,30/10/2035,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/8670/koksijde/rbu64352,8670,koksijde,RBU64352,345 000 €,,No,To be renovated,,,,3,178 m²,,Yes,1,1,,Electricity,No,,,Yes,Yes,316 m²,,,593 kWh/m²/year,,,No certificate,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1800/vilvoorde/rbu64349,1800,vilvoorde,RBU64349,465 000 €,1 017 €,No,Normal,,2020,,3,127 m²,,,,1,,Solar energy,No,,,Yes,No,184 m²,,,29 kWh/m²/year,2018108764,06/01/2031,No certificate,Yes,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/9050/gentbrugge/rbu64350,9050,gentbrugge,RBU64350,399 000 €,428 €,No,To be renovated,,,,4,136 m²,No,,,1,,Gas,No,,,Yes,No,165 m²,,,645 kWh/m²/year,20251011-0003707445-RES-1,11/10/2035,No certificate,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/6043/ransart/vbd48068,6043,ransart,VBD48068,249 000 €,382 €,No,Fully renovated,,,On contract,2,126 m²,,Yes,,1,,,,,3,Yes,Yes,451 m²,Yes,Yes,304 kWh/m²/year,,26/01/2034,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1325/chaumont-gistoux/vbd48065,1325,chaumont-gistoux,VBD48065,499 000 €,,No,Excellent,Yes,1986,,3,162 m²,No,Yes,2,1,2,Electricity,No,,4,Yes,Yes,1443 m²,,,414 kWh/m²/year,,27/05/2035,"No, certificate does not comply",,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2812/muizen/rbu64354,2812,muizen,RBU64354,375 000 €,513 €,No,Normal,,1953,,3,142 m²,,Yes,1,1,1,Gas,,,2,Yes,Yes,130 m²,Yes,Yes,244 kWh/m²/year,,,"No, certificate does not comply",No,,no flooding area,(information not available)
https://immovlan.be/en/detail/villa/for-sale/7370/dour/vbd48201,7370,dour,VBD48201,330 000 €,914 €,No,Normal,,,On contract,4,150 m²,No,Yes,1,1,2,Electricity,No,North,4,Yes,Yes,1340 m²,,Yes,131 kWh/m²/year,,30/09/2034,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/7370/dour/vbd48198,7370,dour,VBD48198,95 000 €,,No,Normal,,,,2,60 m²,No,,,1,1,,No,North,2,No,Yes,,,Yes,522 kWh/m²/year,,31/07/2035,,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/7031/villers-saint-ghislain/vbd48200,7031,villers-saint-ghislain,VBD48200,135 000 €,,No,To renovate,,,On contract,1,80 m²,No,Yes,,1,1,,No,South,3,Yes,Yes,,,Yes,524 kWh/m²/year,,12/03/2035,,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1160/oudergem/vbd48069,1160,oudergem,VBD48069,530 000 €,1 554 €,No,To be renovated,No,1950,,3,180 m²,No,Yes,1,1,2,Fuel oil,No,South-east,2,No,Yes,,Yes,Yes,329 kWh/m²/year,,,"No, certificate does not comply",,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/2400/mol/rbu64361,2400,mol,RBU64361,269 000 €,,No,,No,1936,,3,193 m²,,Yes,2,2,2,,No,South,3,Yes,No,2379 m²,,,,,,,No,Extended area of residence,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/7340/colfontaine/vbd48202,7340,colfontaine,VBD48202,135 000 €,242 €,No,Normal,,,,3,95 m²,No,,,1,1,Gas,,East,2,Yes,Yes,315 m²,Yes,Yes,172 kWh/m²/year,,31/07/2034,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1742/sint-katherina-lombeek/rbu64362,1742,sint-katherina-lombeek,RBU64362,319 000 €,964 €,No,To renovate,No,1970,On contract,4,270 m²,No,Yes,1,1,,Fuel oil,No,,2,,Yes,435 m²,,Yes,609 kWh/m²/year,,,"No, certificate does not comply",No,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/7060/soignies/vbd48203,7060,soignies,VBD48203,270 000 €,,No,,No,,,3,130 m²,,,,1,,Gas,,,2,Yes,Yes,160 m²,,,397 kWh/m²/year,20161128015472,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/7340/colfontaine/vbd48199,7340,colfontaine,VBD48199,230 000 €,537 €,No,Normal,,,On contract,3,130 m²,,Yes,1,1,1,Gas,No,North-east,3,Yes,Yes,486 m²,Yes,Yes,336 kWh/m²/year,,30/10/2035,,,,no flooding area,(information not available)
https://immovlan.be/en/detail/cottage/for-sale/7061/casteau/vbd48210,7061,casteau,VBD48210,560 000 €,1 931 €,No,Normal,No,,,4,260 m²,No,Yes,2,1,,Gas,No,West,4,Yes,No,3320 m²,Yes,Yes,,,,"No, certificate does not comply",,,(information not available),(information not available)
https://immovlan.be/en/detail/cottage/for-sale/7060/soignies/vbd48212,7060,soignies,VBD48212,560 000 €,1 931 €,No,Normal,No,,,4,260 m²,No,Yes,2,1,,Gas,No,West,4,Yes,No,3320 m²,Yes,Yes,,,,"No, certificate does not comply",,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/7730/estaimbourg/vbd48211,7730,estaimbourg,VBD48211,299 000 €,,,New,,,On contract,3,152 m²,No,Yes,1,1,2,Gas,No,,3,Yes,Yes,352 m²,,,104 kWh/m²/year,,27/01/2037,"yes, certificate in accordance",,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/7522/blandain/vbd48214,7522,blandain,VBD48214,89 000 €,,No,To be renovated,,,On contract,3,156 m²,No,,,1,1,Fuel oil,No,,3,Yes,No,650 m²,,,536 kWh/m²/year,,,"No, certificate does not comply",,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/2800/mechelen/rbu64378,2800,mechelen,RBU64378,267 000 €,288 €,No,Normal,No,1899,,3,77 m²,No,,,1,2,Gas,No,,,No,Yes,,,,148 kWh/m²/year,775613,05/08/2034,"yes, certificate in accordance",Yes,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbu64379,2018,antwerp,RBU64379,539 000 €,2 213 €,No,Normal,No,,Negotiable,5,292 m²,No,,,1,,Gas,No,South-east,,No,No,,,,354 kWh/m²/year,20200210-0002246572-RES-1,,"No, certificate does not comply",No,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/7538/vezon/vbd48213,7538,vezon,VBD48213,429 000 €,820 €,No,Excellent,,,On contract,4,165 m²,No,Yes,1,1,1,Hot air,No,,4,Yes,Yes,1000 m²,,,269 kWh/m²/year,,,No certificate,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/3070/kortenberg/rbu64380,3070,kortenberg,RBU64380,525 000 €,,No,Normal,No,1979,On contract,4,224 m²,No,Yes,2,1,2,Gas,No,South-west,3,Yes,Yes,389 m²,Yes,Yes,128 kWh/m²/year,0003622055,,Not applicable,Yes,"Residential zone (residential, urban)",,(information not available)
https://immovlan.be/en/detail/residence/for-sale/9180/moerbeke-waas/rbu64382,9180,moerbeke-waas,RBU64382,429 000 €,,No,To be renovated,No,,On contract,6,461 m²,No,Yes,1,1,2,,No,,,Yes,Yes,1232 m²,,,819 kWh/m²/year,,,"No, certificate does not comply",No,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/bungalow/for-sale/9190/stekene/rbu64381,9190,stekene,RBU64381,355 000 €,704 €,No,Normal,No,,,3,,No,Yes,1,1,,,No,South,4,Yes,Yes,648 m²,,,327 kWh/m²/year,,,"No, certificate does not comply",,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/4684/haccourt/vbd48077,4684,haccourt,VBD48077,235 000 €,636 €,No,,,1956,,3,175 m²,,Yes,1,1,1,Fuel oil,No,,2,Yes,Yes,353 m²,,,494 kWh/m²/year,,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/4654/charneux/vbd48076,4654,charneux,VBD48076,495 000 €,,No,Normal,,,,4,150 m²,,Yes,2,1,2,Fuel oil,,,3,Yes,Yes,890 m²,Yes,Yes,493 kWh/m²/year,,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/villa/for-sale/1325/chaumont-gistoux/vbd48078,1325,chaumont-gistoux,VBD48078,649 000 €,2 915 €,No,Normal,No,1983,On contract,5,365 m²,No,Yes,4,2,,Fuel oil,No,,4,Yes,Yes,1612 m²,,Yes,302 kWh/m²/year,,,No certificate,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1400/nivelles/vbd48084,1400,nivelles,VBD48084,310 000 €,,No,Normal,,,On contract,3,120 m²,,,,1,2,Gas,No,North,2,Yes,Yes,125 m²,,,197 kWh/m²/year,,31/10/2035,"yes, certificate in accordance",,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1410/waterloo/vbd48085,1410,waterloo,VBD48085,645 000 €,,No,Excellent,No,,On contract,6,291 m²,No,,,2,3,Gas,No,North-east,3,Yes,Yes,655 m²,Yes,Yes,213 kWh/m²/year,,23/03/2034,,,,(information not available),(information not available)
https://immovlan.be/en/detail/cottage/for-sale/1540/herfelingen/rbu64363,1540,herfelingen,RBU64363,275 000 €,806 €,No,To be renovated,No,1900,On contract,3,165 m²,No,Yes,1,1,1,,No,South-east,4,Yes,Yes,5934 m²,,Yes,1216 kWh/m²/year,,19/09/2035,"No, certificate does not comply",No,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/9130/kieldrecht/rbu64384,9130,kieldrecht,RBU64384,375 000 €,,No,Normal,No,,On contract,4,230 m²,No,Yes,1,1,2,,No,,3,Yes,Yes,387 m²,,,285 kWh/m²/year,,,"yes, certificate in accordance",No,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1420/braine-l-alleud/vbd48086,1420,braine-l-alleud,VBD48086,645 000 €,,No,Excellent,No,,On contract,6,291 m²,No,,,2,3,Gas,No,North-east,3,Yes,Yes,655 m²,Yes,Yes,213 kWh/m²/year,,23/03/2034,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1601/ruisbroek/vbd48219,1601,ruisbroek,VBD48219,415 000 €,857 €,No,,No,1899,On contract,5,157 m²,No,Yes,1,,,,No,,,Yes,Yes,370 m²,Yes,Yes,312 kWh/m²/year,20240626-0003294335-RES-1,26/06/2034,Not applicable,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/5500/dinant/vbd48269,5500,dinant,VBD48269,345 000 €,856 €,No,To be renovated,No,1875,,6,304 m²,No,,,3,3,Gas,No,,3,Yes,Yes,500 m²,Yes,Yes,503 kWh/m²/year,20251004008451,04/10/2035,Not applicable,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/9070/heusden/rbu64386,9070,heusden,RBU64386,289 000 €,438 €,No,Normal,No,1949,,2,148 m²,No,Yes,1,1,1,Gas,No,South-west,3,Yes,Yes,117 m²,Yes,Yes,333 kWh/m²/year,2125450,,"yes, certificate in accordance",No,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/9120/kallo/rbu64383,9120,kallo,RBU64383,415 000 €,,No,Normal,No,2014,On contract,4,186 m²,No,Yes,,1,2,,No,East,3,Yes,Yes,300 m²,,,117 kWh/m²/year,,,"yes, certificate in accordance",No,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/5100/wepion/vbd48271,5100,wepion,VBD48271,600 000 €,1 621 €,No,To be renovated,No,1953,,5,239 m²,No,Yes,2,3,,Fuel oil,No,East,4,Yes,Yes,5464 m²,,Yes,435 kWh/m²/year,20240702000184,02/07/2034,"No, certificate does not comply",,,(information not available),(information not available)
